epoch,train_mse,mae,rmse,nrmse_percent,r2,mape_percent,smape_percent
1,0.035924968775361776,0.055026907473802567,0.0812319964170456,7.148813221262867,0.9461861963260708,1269985.5,105.78564453125
2,0.004756894617873643,0.038503099232912064,0.06359753757715225,5.596894543095406,0.9670147292630238,444127.1875,102.220703125
3,0.0030276103909792646,0.03451479598879814,0.05893465504050255,5.186538060459428,0.9716742784271617,305751.90625,101.15689086914062
4,0.0023279854229518344,0.03151465952396393,0.054036471992731094,4.755473981321193,0.9761870373923248,269262.875,100.15941619873047
5,0.00193594576225483,0.030509933829307556,0.05318450182676315,4.680496437308559,0.9769320166755648,225167.015625,100.03339385986328
6,0.0016860229661688209,0.02903852052986622,0.051116831600666046,4.49853133856044,0.9786907915406035,207648.3125,99.68658447265625
7,0.0015148513135500251,0.029219841584563255,0.05271075665950775,4.638804544156046,0.9773411445845697,187460.546875,99.4590072631836
8,0.0013976942365323858,0.02891683578491211,0.0528520904481411,4.651242609221023,0.9772194706398933,173188.28125,99.25180053710938
9,0.0012945123415972505,0.02768370695412159,0.04989253729581833,4.390787448230845,0.9796993171861448,177891.25,98.37323760986328
10,0.0012447109645498651,0.027779655531048775,0.05136258900165558,4.520159192545431,0.9784854002875113,158293.8125,98.49845123291016
11,0.001202718254977039,0.027492497116327286,0.05121798813343048,4.5074336084878075,0.9786063699223722,158615.8125,98.23210144042969
12,0.0011533523577132395,0.027472857385873795,0.051106080412864685,4.497585181419304,0.978699756448958,154828.28125,97.94412994384766
13,0.0011128977672862155,0.027495497837662697,0.05191335827112198,4.568629583636305,0.9780215167144115,155329.65625,97.8608627319336
14,0.0010788855924537138,0.028245510533452034,0.05375324562191963,4.73054867462465,0.9764360091424652,152327.671875,98.4774398803711
15,0.0010731972454647934,0.027324162423610687,0.051247283816337585,4.510011771952079,0.9785818889626059,141726.203125,97.97752380371094
16,0.0010601802122047438,0.027851903811097145,0.05346646159887314,4.705310277120837,0.9766867752899746,154936.90625,97.83265686035156
17,0.00105878255479703,0.025813892483711243,0.04776822030544281,4.203837157005906,0.981391235707395,129068.09375,97.18533325195312
18,0.0010285447043965439,0.027385395020246506,0.052496589720249176,4.6199568054021105,0.9775249004311197,127777.859375,97.96524047851562
19,0.0010158084041904658,0.026302339509129524,0.04990120232105255,4.3915500128567215,0.9796922652398771,128015.171875,97.37882995605469
20,0.0009915517826032426,0.026071930304169655,0.04955640435218811,4.361206104209839,0.9799719328645372,117134.703125,97.16156768798828
21,0.0009961610701533833,0.026736758649349213,0.05151455104351044,4.533532595906894,0.9783579042843102,115666.078125,97.47542572021484
22,0.0009843513544183224,0.027480246499180794,0.052516620606184006,4.6217196213923675,0.9775077457091322,145269.296875,97.8711166381836
23,0.0009651793466348733,0.026866480708122253,0.052278585731983185,4.60077138755761,0.9777111797595714,129287.6953125,97.4049301147461
24,0.0009474325318089022,0.026861602440476418,0.05208180844783783,4.583454023555864,0.9778786515384787,132268.78125,97.49137878417969
25,0.0009444229537621141,0.026079503819346428,0.04843151196837425,4.262210069388529,0.9808708569311334,115842.1640625,97.19967651367188
