epoch,train_mse,mae,rmse,nrmse_percent,r2,mape_percent,smape_percent
1,0.03922646850280996,0.06358720362186432,0.09520270675420761,7.644685370352449,0.9366257378555326,1069618.75,108.53252410888672
2,0.0040993720226522,0.05190042033791542,0.08233430981636047,6.611365529303912,0.9526002596313197,519537.6875,105.98424530029297
3,0.0025718328759207257,0.04723803326487541,0.0771406814455986,6.19432218906027,0.9583915781943362,359459.15625,104.60739135742188
4,0.001935587978888569,0.04605907201766968,0.07620633393526077,6.119294986718787,0.959393422538553,297921.9375,103.68733215332031
5,0.0015971738570702396,0.0433897040784359,0.07329665124416351,5.885650277872146,0.9624350704247009,235339.28125,102.93913269042969
6,0.0014074063394218684,0.0420098677277565,0.07203235477209091,5.784128492690187,0.963719811531882,207547.0625,102.27782440185547
7,0.0012938048865180462,0.0437302403151989,0.07518032193183899,6.036907214146155,0.9604794846027056,193489.859375,102.58958435058594
8,0.001187106956993895,0.04217592999339104,0.0732891857624054,5.885050806899894,0.9624427233925877,192817.25,102.313720703125
9,0.001125857193255797,0.04099687561392784,0.07144326716661453,5.736825327129275,0.9643107946157226,188418.296875,101.81363677978516
10,0.0010939878436537194,0.04152015969157219,0.07266049087047577,5.834567214504163,0.9630843135679222,162503.3125,101.72803497314453
11,0.0010517380799033812,0.042163167148828506,0.07386374473571777,5.931187337335167,0.961851547406257,160201.3125,101.74812316894531
12,0.001039595915686472,0.039479561150074005,0.07003161311149597,5.62347087040122,0.9657072297720906,150358.3125,101.2552261352539
13,0.0010131795445756455,0.04026377201080322,0.07128428667783737,5.724059347482667,0.9644694516529961,158401.59375,101.30300903320312
14,0.0009832792948665365,0.041031621396541595,0.07302317023277283,5.863690016886655,0.9627148737331848,151607.734375,101.48150634765625
15,0.0009706245519087783,0.03994843736290932,0.07124945521354675,5.721262414553251,0.9645041670866096,150846.890625,101.2878646850586
16,0.0009619902428572199,0.04046854004263878,0.07187593728303909,5.7715683194452305,0.9638772059346739,144842.96875,101.23963165283203
17,0.0009462542353763378,0.043643660843372345,0.0761830061674118,6.117421789499106,0.9594182718866183,148262.875,101.743408203125
18,0.0009283129990633045,0.04164211452007294,0.0737181082367897,5.919492867180876,0.9620018359827707,144624.265625,101.5060043334961
19,0.0009041427921537044,0.04209035262465477,0.07410173863172531,5.950298017241982,0.9616053196530348,144204.8125,101.32044219970703
20,0.0008953769046846511,0.04203253239393234,0.07374568283557892,5.921707080821897,0.9619734021557043,147238.03125,101.59149169921875
