epoch,train_mse,mae,rmse,nrmse_percent,r2,mape_percent,smape_percent
1,0.024682005255350043,0.05069291219115257,0.08591336756944656,6.898760408898073,0.9483897699614655,356782.1875,105.45686340332031
2,0.0032785752289263264,0.047197893261909485,0.08009722828865051,6.431730044030126,0.9551410309404932,203439.1875,104.28034973144531
3,0.002246615110198036,0.03947383910417557,0.06813944876194,5.4715319012845285,0.9675352930187424,166363.3125,102.76080322265625
4,0.001827093049983627,0.037834104150533676,0.06642770767211914,5.334080745605005,0.969145906056403,169502.421875,101.99430847167969
5,0.0015339111036155374,0.03608262166380882,0.0638805627822876,5.12954747192681,0.9714667176705527,135519.5,101.60177612304688
6,0.0014034126469466303,0.0352136455476284,0.06375627219676971,5.119567057995574,0.9715776383561194,124358.921875,100.88036346435547
7,0.0013218371513565735,0.03871341422200203,0.06930863112211227,5.565416115177303,0.9664116325055764,127365.015625,101.12448120117188
8,0.0012666449449690324,0.03640224039554596,0.06577256321907043,5.281473279006187,0.9697515006270523,128832.7421875,100.70196533203125
9,0.001220736637645002,0.03923668712377548,0.06999851018190384,5.620812737138033,0.9657396479124106,145206.78125,100.99671173095703
10,0.001182851063120844,0.037239983677864075,0.0668315440416336,5.366508415902383,0.9687696199369199,117476.6953125,100.70527648925781
11,0.0011695498559025248,0.036763403564691544,0.06643634289503098,5.33477414566173,0.9691378813128076,125622.875,100.60185241699219
12,0.001130515568157924,0.034883301705121994,0.06371869891881943,5.116549960078344,0.9716111297357491,132104.953125,100.4496078491211
13,0.0011104205685634433,0.03534761816263199,0.06453990936279297,5.182492365300428,0.9708746595937437,116054.171875,100.08647155761719
14,0.0010955178569669703,0.03683662414550781,0.0666000247001648,5.347917636469507,0.9689856216235752,123013.390625,100.46014404296875
15,0.0010620161296433903,0.03610819950699806,0.06542694568634033,5.253720525053292,0.9700685621747033,129375.625,100.37517547607422
16,0.001041724401875399,0.03917204961180687,0.06983431428670883,5.607627965395041,0.9659001848721349,122952.2578125,100.6358413696289
17,0.001047994863308434,0.0354573093354702,0.06442154198884964,5.172987579535798,0.9709813978025895,120645.5078125,100.30510711669922
18,0.001029315306888228,0.035333093255758286,0.06427078694105148,5.160882094852629,0.9711170503410684,126137.9375,100.31507873535156
19,0.001009740447209749,0.036470867693424225,0.06541479378938675,5.252744739468719,0.970079676865461,172020.671875,100.59398651123047
20,0.0009809429936077712,0.037497974932193756,0.06804077327251434,5.463608354820957,0.9676292505607781,114805.25,100.57260131835938
